Question ID,Question Title,Difficulty Level,Similar Questions Text,Topic Tagged text
719,Find K-th Smallest Pair Distance,Hard,"Find K Pairs with Smallest Sums,Kth Smallest Element in a Sorted Matrix,Find K Closest Elements,Kth Smallest Number in Multiplication Table,K-th Smallest Prime Fraction","Array,Two Pointers,Binary Search,Sorting"
720,Longest Word in Dictionary,Medium,"Longest Word in Dictionary through Deleting,Implement Magic Dictionary,Longest Word With All Prefixes","Array,Hash Table,String,Trie,Sorting"
721,Accounts Merge,Medium,"Redundant Connection,Sentence Similarity,Sentence Similarity II","Array,String,Depth-First Search,Breadth-First Search,Union Find"
722,Remove Comments,Medium,"Mini Parser,Ternary Expression Parser","Array,String"
723,Candy Crush,Medium,"Watering Plants II,Partition Array According to Given Pivot,Rearrange Array Elements by Sign,Spiral Matrix,Spiral Matrix II","Array,Two Pointers,Matrix,Simulation"
724,Find Pivot Index,Easy,"Subarray Sum Equals K,Find the Middle Index in Array,Maximum Sum Score of Array","Array,Prefix Sum"
725,Split Linked List in Parts,Medium,"Rotate List,Odd Even Linked List",Linked List
726,Number of Atoms,Hard,"Decode String,Encode String with Shortest Length,Parse Lisp Expression","Hash Table,String,Stack,Sorting"
727,Minimum Window Subsequence,Hard,"Minimum Window Substring,Longest Continuous Increasing Subsequence","String,Dynamic Programming,Sliding Window"
728,Self Dividing Numbers,Easy,Perfect Number,Math
729,My Calendar I,Medium,"My Calendar II,My Calendar III","Design,Segment Tree,Ordered Set"
730,Count Different Palindromic Subsequences,Hard,Longest Palindromic Subsequence,"String,Dynamic Programming"
731,My Calendar II,Medium,"My Calendar I,My Calendar III","Design,Segment Tree,Ordered Set"
732,My Calendar III,Hard,"My Calendar I,My Calendar II","Design,Segment Tree,Ordered Set"
733,Flood Fill,Easy,Island Perimeter,"Array,Depth-First Search,Breadth-First Search,Matrix"
734,Sentence Similarity,Easy,"Number of Provinces,Accounts Merge,Sentence Similarity II","Array,Hash Table,String"
735,Asteroid Collision,Medium,"Can Place Flowers,Destroying Asteroids,Count Collisions on a Road","Array,Stack"
736,Parse Lisp Expression,Hard,"Ternary Expression Parser,Number of Atoms,Basic Calculator IV","Hash Table,String,Stack,Recursion"
737,Sentence Similarity II,Medium,"Number of Provinces,Accounts Merge,Sentence Similarity","Array,Hash Table,String,Depth-First Search,Breadth-First Search,Union Find"
738,Monotone Increasing Digits,Medium,Remove K Digits,"Math,Greedy"
739,Daily Temperatures,Medium,"Next Greater Element I,Online Stock Span","Array,Stack,Monotonic Stack"
740,Delete and Earn,Medium,House Robber,"Array,Hash Table,Dynamic Programming"
741,Cherry Pickup,Hard,"Minimum Path Sum,Dungeon Game,Maximum Path Quality of a Graph","Array,Dynamic Programming,Matrix"
742,To Lower Case,Easy,Capitalize the Title,String
743,Closest Leaf in a Binary Tree,Medium,"Binary Tree Right Side View,Maximum Depth of Binary Tree,Minimum Depth of Binary Tree,Path Sum,Average of Levels in Binary Tree","Tree,Depth-First Search,Breadth-First Search,Binary Tree"
744,Network Delay Time,Medium,"The Time When the Network Becomes Idle,Second Minimum Time to Reach Destination","Depth-First Search,Breadth-First Search,Graph,Heap (Priority Queue),Shortest Path"
745,Find Smallest Letter Greater Than Target,Easy,Count Elements With Strictly Smaller and Greater Elements ,"Array,Binary Search"
746,Prefix and Suffix Search,Hard,Design Add and Search Words Data Structure,"String,Design,Trie"
747,Min Cost Climbing Stairs,Easy,Climbing Stairs,"Array,Dynamic Programming"
748,Largest Number At Least Twice of Others,Easy,"Keep Multiplying Found Values by Two,Largest Number After Digit Swaps by Parity","Array,Sorting"
749,Shortest Completing Word,Easy,"Minimum Index Sum of Two Lists,Sentence Similarity,Find Common Characters,Isomorphic Strings,Word Pattern","Array,Hash Table,String"
750,Contain Virus,Hard,"Minesweeper,Coloring A Border,Find All Groups of Farmland,Island Perimeter,Flood Fill","Array,Depth-First Search,Breadth-First Search,Matrix,Simulation"
751,Number Of Corner Rectangles,Medium,"Unique Paths II,Minimum Path Sum,Maximal Square,Bomb Enemy,Minimum Falling Path Sum","Array,Math,Dynamic Programming,Matrix"
752,IP to CIDR,Medium,"Restore IP Addresses,Validate IP Address","String,Bit Manipulation"
753,Open the Lock,Medium,"Minimum Genetic Mutation,Word Ladder,Jump Game IV,Smallest Common Region,Employee Importance","Array,Hash Table,String,Breadth-First Search"
754,Cracking the Safe,Hard,"Reconstruct Itinerary,Valid Arrangement of Pairs,The Maze,Keys and Rooms,Sum of Distances in Tree","Depth-First Search,Graph,Eulerian Circuit"
755,Reach a Number,Medium,"Sqrt(x),Valid Perfect Square,Preimage Size of Factorial Zeroes Function,Search in Rotated Sorted Array,Find First and Last Position of Element in Sorted Array","Math,Binary Search"
756,Pour Water,Medium,Trapping Rain Water,"Array,Simulation"
757,Pyramid Transition Matrix,Medium,"Bulb Switcher II,Nested List Weight Sum,Jump Game III,Tree Diameter,Time Needed to Inform All Employees","Bit Manipulation,Depth-First Search,Breadth-First Search"
758,Convert Binary Search Tree to Sorted Doubly Linked List,Medium,Binary Tree Inorder Traversal,"Linked List,Stack,Tree,Depth-First Search,Binary Search Tree,Binary Tree,Doubly-Linked List"
759,Set Intersection Size At Least Two,Hard,"Earliest Possible Day of Full Bloom,Wiggle Sort,Minimum Number of Arrows to Burst Balloons,Campus Bikes,Put Boxes Into the Warehouse I","Array,Greedy,Sorting"
760,Bold Words in String,Medium,"Add Bold Tag in String,Replace Words,Repeated String Match,Palindrome Pairs,Longest Word in Dictionary","Array,Hash Table,String,Trie,String Matching"
761,Employee Free Time,Hard,"Merge Intervals,Interval List Intersections","Array,Sorting,Heap (Priority Queue)"
762,Find Anagram Mappings,Easy,"Two Sum,Find All Numbers Disappeared in an Array,Degree of an Array,Find the Difference of Two Arrays,Minimum Index Sum of Two Lists","Array,Hash Table"
763,Special Binary String,Hard,Valid Parenthesis String,"String,Recursion"
764,N-ary Tree Level Order Traversal,Medium,"Binary Tree Level Order Traversal,N-ary Tree Preorder Traversal,N-ary Tree Postorder Traversal,The Time When the Network Becomes Idle","Tree,Breadth-First Search"
765,Serialize and Deserialize N-ary Tree,Hard,"Serialize and Deserialize Binary Tree,Serialize and Deserialize BST,Encode N-ary Tree to Binary Tree","String,Tree,Depth-First Search,Breadth-First Search"
766,Flatten a Multilevel Doubly Linked List,Medium,"Flatten Binary Tree to Linked List,Correct a Binary Tree","Linked List,Depth-First Search,Doubly-Linked List"
767,Prime Number of Set Bits in Binary Representation,Easy,Number of 1 Bits,"Math,Bit Manipulation"
768,Partition Labels,Medium,Merge Intervals,"Hash Table,Two Pointers,String,Greedy"
769,Largest Plus Sign,Medium,Maximal Square,"Array,Dynamic Programming"
770,Couples Holding Hands,Hard,"First Missing Positive,Missing Number,K-Similar Strings","Greedy,Depth-First Search,Breadth-First Search,Union Find,Graph"
771,Encode N-ary Tree to Binary Tree,Hard,Serialize and Deserialize N-ary Tree,"Tree,Depth-First Search,Breadth-First Search,Design,Binary Tree"
772,Construct Quad Tree,Medium,"Search a 2D Matrix II,Find a Peak Element II,Find Array Given Subset Sums,Construct Binary Tree from Preorder and Inorder Traversal,Construct Binary Tree from Inorder and Postorder Traversal","Array,Divide and Conquer,Tree,Matrix"
773,Logical OR of Two Binary Grids Represented as Quad-Trees,Medium,"Super Pow,Construct Binary Tree from Preorder and Inorder Traversal,Construct Binary Tree from Inorder and Postorder Traversal,Find Array Given Subset Sums,Maximum Subarray","Divide and Conquer,Tree"
774,Maximum Depth of N-ary Tree,Easy,"Maximum Depth of Binary Tree,The Time When the Network Becomes Idle","Tree,Depth-First Search,Breadth-First Search"
775,N-ary Tree Preorder Traversal,Easy,"Binary Tree Preorder Traversal,N-ary Tree Level Order Traversal,N-ary Tree Postorder Traversal","Stack,Tree,Depth-First Search"
776,N-ary Tree Postorder Traversal,Easy,"Binary Tree Postorder Traversal,N-ary Tree Level Order Traversal,N-ary Tree Preorder Traversal","Stack,Tree,Depth-First Search"
777,Toeplitz Matrix,Easy,Valid Word Square,"Array,Matrix"
778,Reorganize String,Medium,"Rearrange String k Distance Apart,Task Scheduler,Longest Happy String","Hash Table,String,Greedy,Sorting,Heap (Priority Queue),Counting"
779,Max Chunks To Make Sorted II,Hard,Max Chunks To Make Sorted,"Array,Stack,Greedy,Sorting,Monotonic Stack"
780,Max Chunks To Make Sorted,Medium,Max Chunks To Make Sorted II,"Array,Stack,Greedy,Sorting,Monotonic Stack"
781,Basic Calculator IV,Hard,"Parse Lisp Expression,Basic Calculator III","Hash Table,Math,String,Stack,Recursion"
782,Jewels and Stones,Easy,"Isomorphic Strings,Word Pattern,Buddy Strings,Uncommon Words from Two Sentences,Count Vowel Substrings of a String","Hash Table,String"
783,Search in a Binary Search Tree,Easy,"Closest Binary Search Tree Value,Insert into a Binary Search Tree","Tree,Binary Search Tree,Binary Tree"
784,Insert into a Binary Search Tree,Medium,Search in a Binary Search Tree,"Tree,Binary Search Tree,Binary Tree"
785,Basic Calculator III,Hard,"Basic Calculator,Basic Calculator II,Basic Calculator IV,Build Binary Expression Tree From Infix Expression","Math,String,Stack,Recursion"
786,Search in a Sorted Array of Unknown Size,Medium,"Binary Search,Find the Index of the Large Integer","Array,Binary Search,Interactive"
787,Sliding Puzzle,Hard,"Shortest Distance from All Buildings,Shortest Path in a Grid with Obstacles Elimination,Walls and Gates,Shortest Path to Get Food,Rotting Oranges","Array,Breadth-First Search,Matrix"
788,Minimize Max Distance to Gas Station,Hard,Koko Eating Bananas,"Array,Binary Search"
789,Kth Largest Element in a Stream,Easy,"Kth Largest Element in an Array,Finding MK Average,Sequentially Ordinal Rank Tracker","Tree,Design,Binary Search Tree,Heap (Priority Queue),Binary Tree,Data Stream"
790,Global and Local Inversions,Medium,"Minimum Moves to Equal Array Elements,Beautiful Arrangement II,Escape The Ghosts,Find Palindrome With Fixed Length,Reverse Integer","Array,Math"
791,Split BST,Medium,Delete Node in a BST,"Tree,Binary Search Tree,Recursion,Binary Tree"
792,Binary Search,Easy,Search in a Sorted Array of Unknown Size,"Array,Binary Search"
793,Swap Adjacent in LR String,Medium,"Reverse Words in a String,One Edit Distance,Reverse Words in a String II,String Compression,Next Greater Element III","Two Pointers,String"
794,Swim in Rising Water,Hard,Path With Minimum Effort,"Array,Binary Search,Depth-First Search,Breadth-First Search,Union Find,Heap (Priority Queue),Matrix"
795,K-th Symbol in Grammar,Medium,"Power of Two,Power of Four,Sum of Two Integers,Total Hamming Distance,Encode Number","Math,Bit Manipulation,Recursion"
796,Reaching Points,Hard,"Abbreviating the Product of a Range,Find the Closest Palindrome,Preimage Size of Factorial Zeroes Function,Digit Count in Range,Confusing Number II",Math
797,Rabbits in Forest,Medium,"Line Reflection,Number of Boomerangs,Array of Doubled Pairs,Divide Array in Sets of K Consecutive Numbers,Find Original Array From Doubled Array","Array,Hash Table,Math,Greedy"
798,Transform to Chessboard,Hard,"Remove All Ones With Row and Column Flips,Unique Paths III,Total Hamming Distance,Sum of Two Integers,Score After Flipping Matrix","Array,Math,Bit Manipulation,Matrix"
799,Minimum Distance Between BST Nodes,Easy,Binary Tree Inorder Traversal,"Tree,Depth-First Search,Breadth-First Search,Binary Search Tree,Binary Tree"
800,Letter Case Permutation,Medium,"Subsets,Brace Expansion","String,Backtracking,Bit Manipulation"
801,Is Graph Bipartite?,Medium,"Graph Valid Tree,Number of Connected Components in an Undirected Graph,Number of Provinces,Redundant Connection,Redundant Connection II","Depth-First Search,Breadth-First Search,Union Find,Graph"
802,K-th Smallest Prime Fraction,Hard,"Kth Smallest Element in a Sorted Matrix,Kth Smallest Number in Multiplication Table,Find K-th Smallest Pair Distance","Array,Binary Search,Heap (Priority Queue)"
803,Cheapest Flights Within K Stops,Medium,"Maximum Vacation Days,Minimum Cost to Reach City With Discounts","Dynamic Programming,Depth-First Search,Breadth-First Search,Graph,Heap (Priority Queue),Shortest Path"
804,Rotated Digits,Medium,"Integer Break,2 Keys Keyboard,4 Keys Keyboard,Number of Ways to Build House of Cards,Egg Drop With 2 Eggs and N Floors","Math,Dynamic Programming"
805,Escape The Ghosts,Medium,Cat and Mouse II,"Array,Math"
806,Domino and Tromino Tiling,Medium,"Paint Fence,Out of Boundary Paths,Knight Probability in Chessboard,Champagne Tower,Number of Dice Rolls With Target Sum",Dynamic Programming
807,Custom Sort String,Medium,"Group Anagrams,Determine if Two Strings Are Close,Sort Features by Popularity,Valid Anagram,Group Shifted Strings","Hash Table,String,Sorting"
808,Number of Matching Subsequences,Medium,"Is Subsequence,Shortest Way to Form String,Count Vowel Substrings of a String","Hash Table,String,Trie,Sorting"
809,Preimage Size of Factorial Zeroes Function,Hard,Factorial Trailing Zeroes,"Math,Binary Search"
810,Valid Tic-Tac-Toe State,Medium,Design Tic-Tac-Toe,"Array,String"
811,Number of Subarrays with Bounded Maximum,Medium,"Next Permutation,Remove Duplicates from Sorted Array II,Interval List Intersections,Rotate Array,3Sum","Array,Two Pointers"
812,Rotate String,Easy,"Repeated Substring Pattern,Check If a Word Occurs As a Prefix of Any Word in a Sentence,Maximum Repeating Substring,Repeated String Match,Implement strStr()","String,String Matching"
813,All Paths From Source to Target,Medium,Number of Ways to Arrive at Destination,"Backtracking,Depth-First Search,Breadth-First Search,Graph"
814,Smallest Rotation with Highest Score,Hard,"Split Array with Equal Sum,Product of Array Except Self,Range Addition,Describe the Painting,Maximum Sum Score of Array","Array,Prefix Sum"
815,Champagne Tower,Medium,Number of Ways to Build House of Cards,Dynamic Programming
816,Design HashSet,Easy,"Design HashMap,Design Skiplist","Array,Hash Table,Linked List,Design,Hash Function"
817,Design HashMap,Easy,"Design HashSet,Design Skiplist","Array,Hash Table,Linked List,Design,Hash Function"
818,Similar RGB Color,Easy,"Minimum Cost to Set Cooking Time,Count Good Triplets,Detect Pattern of Length M Repeated K or More Times,Count Special Quadruplets,Minimize Result by Adding Parentheses to Expression","Math,String,Enumeration"
819,Minimum Swaps To Make Sequences Increasing,Hard,Minimum Operations to Make the Array K-Increasing,"Array,Dynamic Programming"
820,Find Eventual Safe States,Medium,"Course Schedule,Course Schedule II,Minimum Height Trees,All Ancestors of a Node in a Directed Acyclic Graph,Alien Dictionary","Depth-First Search,Breadth-First Search,Graph,Topological Sort"
821,Bricks Falling When Hit,Hard,"Last Day Where You Can Still Cross,Number of Ways to Build Sturdy Brick Wall","Array,Union Find,Matrix"
822,Unique Morse Code Words,Easy,"Minimum Index Sum of Two Lists,Sentence Similarity,Find Common Characters,Isomorphic Strings,Word Pattern","Array,Hash Table,String"
823,Split Array With Same Average,Hard,Partition Array Into Two Arrays to Minimize Sum Difference,"Array,Math,Dynamic Programming,Bit Manipulation,Bitmask"
824,Number of Lines To Write String,Easy,"Shortest Word Distance,Check If Two String Arrays are Equivalent,Maximum Number of Words Found in Sentences,Counting Words With a Given Prefix,Flip Game","Array,String"
